Run 298: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 299: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------293/300----------------

Run 300: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 301: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 302: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 303: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 304: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 305: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 306: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 307: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 308: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 309: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------303/310----------------

Run 310: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 311: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 312: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 313: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 314: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 315: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 316: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 317: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 318: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 319: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------313/320----------------

Run 320: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 321: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 322: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 323: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 324: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 325: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 326: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
