Run 381: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 382: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 383: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 384: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 385: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 386: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 387: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 388: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 389: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------353/390----------------

Run 390: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 391: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
